Name,New price,Old price,Product code,URL
Jersey Top,$5,$12.99,60133,http://www.hm.com/us/product/60133?article=60133-E
Jersey Top,$5,$12.99,60133,http://www.hm.com/us/product/60133?article=60133-F
Jersey Top,$5.99,$12.99,68934,http://www.hm.com/us/product/68934?article=68934-C
T-shirt with Printed Design,$5.99,$12.99,63019,http://www.hm.com/us/product/63019?article=63019-Q
Striped Jersey Top,$9.99,$14.99,64644,http://www.hm.com/us/product/64644?article=64644-C
T-shirt with Printed Design,$5.99,$12.99,63019,http://www.hm.com/us/product/63019?article=63019-K
T-shirt with Printed Design,$5.99,$12.99,63019,http://www.hm.com/us/product/63019?article=63019-A
Short-sleeved Top,$6.99,$9.99,65274,http://www.hm.com/us/product/65274?article=65274-A
Boat-neck Top,$7.99,$14.99,38259,http://www.hm.com/us/product/38259?article=38259-H
Pleated Top,$9.99,$17.99,67571,http://www.hm.com/us/product/67571?article=67571-B
Pleated Top,$9.99,$17.99,67571,http://www.hm.com/us/product/67571?article=67571-A
Top with Lace Details,$7,$14.99,67739,http://www.hm.com/us/product/67739?article=67739-A
Top with Lace,$12.99,$24.99,68451,http://www.hm.com/us/product/68451?article=68451-A
Top with Lace Details,$7,$14.99,67739,http://www.hm.com/us/product/67739?article=67739-D
Long-sleeved Top,$5.99,$12.99,62235,http://www.hm.com/us/product/62235?article=62235-F
Long-sleeved Top,$5.99,$12.99,62235,http://www.hm.com/us/product/62235?article=62235-B
Long-sleeved Top,$5.99,$12.99,62235,http://www.hm.com/us/product/62235?article=62235-A
Top with Lace,$12.99,$24.99,68451,http://www.hm.com/us/product/68451?article=68451-D
Long-sleeved Top,$5.99,$12.99,62235,http://www.hm.com/us/product/62235?article=62235-G
Long-sleeved Jersey Top,$9.99,$17.99,54285,http://www.hm.com/us/product/54285?article=54285-I
Top with Lace Yoke,$5.99,$9.99,68429,http://www.hm.com/us/product/68429?article=68429-B
Lyocell Top,$7.99,$14.99,67584,http://www.hm.com/us/product/67584?article=67584-E
Short Jersey Tank Top,$2.99,$4.99,69443,http://www.hm.com/us/product/69443?article=69443-C
Lyocell Top,$7.99,$14.99,67584,http://www.hm.com/us/product/67584?article=67584-A
Polo Shirt,$5.99,$12.99,43558,http://www.hm.com/us/product/43558?article=43558-G
Lyocell Jersey Tank Top,$6.99,$12.99,70462,http://www.hm.com/us/product/70462?article=70462-C
Lyocell Jersey Tank Top,$6.99,$12.99,70462,http://www.hm.com/us/product/70462?article=70462-B
Slub Jersey Top,$5.99,$12.99,54630,http://www.hm.com/us/product/54630?article=54630-F
Slub Jersey Top,$7.99,$17.99,43522,http://www.hm.com/us/product/43522?article=43522-E
Slub Jersey Top,$7.99,$17.99,43522,http://www.hm.com/us/product/43522?article=43522-G
Mock-turtleneck Top,$9.99,$17.99,58925,http://www.hm.com/us/product/58925?article=58925-A
Ribbed Top,$7.99,$17.99,65943,http://www.hm.com/us/product/65943?article=65943-C
Ribbed Top,$9.99,$17.99,65943,http://www.hm.com/us/product/65943?article=65943-A
Wide-cut Top,$7.99,$17.99,69910,http://www.hm.com/us/product/69910?article=69910-A
Off-the-shoulder Top,$7.99,$12.99,58147,http://www.hm.com/us/product/58147?article=58147-G
Short-sleeved Top,$5.99,$12.99,62216,http://www.hm.com/us/product/62216?article=62216-D
V-neck Jersey Top,$9.99,$12.99,63058,http://www.hm.com/us/product/63058?article=63058-C
Short-sleeved Top,$6.99,$9.99,65274,http://www.hm.com/us/product/65274?article=65274-B
Jersey Top,$3.99,$5.99,83742,http://www.hm.com/us/product/83742?article=83742-X
Short T-shirt,$5.99,$9.99,66337,http://www.hm.com/us/product/66337?article=66337-C
T-shirt with Motif,$7.99,$12.99,60675,http://www.hm.com/us/product/60675?article=60675-T
Blouce with Lace Yoke,$14.99,$29.99,68183,http://www.hm.com/us/product/68183?article=68183-C
Crêped Top,$9.99,$14.99,60024,http://www.hm.com/us/product/60024?article=60024-A
V-neck Sweater,$7.99,$14.99,58455,http://www.hm.com/us/product/58455?article=58455-C
Ribbed Tank Top,$4.99,$6.99,69750,http://www.hm.com/us/product/69750?article=69750-C
Cotton-blend T-shirt,$5.99,$9.99,62593,http://www.hm.com/us/product/62593?article=62593-D
Tank Top with Lacing,$9.99,$17.99,71574,http://www.hm.com/us/product/71574?article=71574-A
Short T-shirt,$5.99,$9.99,66337,http://www.hm.com/us/product/66337?article=66337-D
Nepped T-shirt,$7.99,$17.99,67360,http://www.hm.com/us/product/67360?article=67360-C
