alcohol,appellation,bottle size,category,date published,designation,importer,price,taster,url,user avg rating,variety,wine_desc,wine_name,wine_points,winery
14%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Cannubi,Oliver McCrum Wines,"$60,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/brezza-2013-cannubi-barolo,Not rated yet [Add Your Review],Nebbiolo,"One of the best expressions from the classic Cannubi vineyard area, this fragrant red is all about finesse, opening with enticing scents of perfumed berry, iris, rose, chopped herb, baking spice and new leather. The vibrant palate boasts structure as well as an almost ethereal elegance, delivering succulent red cherry, crushed strawberry, cinnamon and licorice wrapped in refined tannins. Bright acidity lends impeccable balance. Drink from 2021 through 2043.",Brezza 2013 Cannubi  (Barolo),98.0,Brezza
14%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Brunate,Vinifera Imports,"N/A,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/giuseppe-rinaldi-2013-brunate-barolo,Not rated yet [Add Your Review],Nebbiolo,"Classic Nebbiolo aromas of new leather, menthol, pressed rose, perfumed wild berry and chopped aromatic herb continuously lift out of the glass. The luminous, delicious palate delivers layers of succulent Marasca cherry, crushed raspberry, cinnamon and star anise set against a backbone of youthfully assertive but fine tannins. Bright acidity gives it wonderful balance while a note of pipe tobacco graces the lingering finish. Drink 2028–2048.",Giuseppe Rinaldi 2013 Brunate  (Barolo),98.0,Giuseppe Rinaldi
14.5%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Vigna Rionda Riserva,Vineyard Brands,"$151,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/massolino-2011-vigna-rionda-riserva-barolo,Not rated yet [Add Your Review],Nebbiolo,"From one of the most celebrated vineyards in the entire Barolo denomination, this gorgeous wine boasts captivating aromas of new leather, underbrush, ripe berry, tobacco, a whiff of tilled soil and a balsamic note. Seamlessly combining elegance and structure, the long, compelling palate delivers layers of juicy black cherry, ripe raspberry, licorice and clove alongside a backbone of noble tannins. It's already a fantastic showing and will age wonderfully for decades. Drink 2021–2046.",Massolino 2011 Vigna Rionda Riserva  (Barolo),98.0,Massolino
14%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Monvigliero,Bacchanal Wine Imports,"$70,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/comm-g-b-burlotto-2013-monvigliero-barolo,Not rated yet [Add Your Review],Nebbiolo,"Always the firm's showstopper and one of the best expressions of this celebrated vineyard, the 2013 doesn't disappoint. It opens with alluring scents of wild red berry, Alpine herb, truffle, graphite and new leather while the dazzling palate boasts Marasca cherry, clove, cinnamon, tobacco and a balsamic note. It already shows remarkable finesse and complexity but still needs years to develop to its full and impressive potential. Drink from 2025 through 2050.",Comm. G. B. Burlotto 2013 Monvigliero  (Barolo),98.0,Comm. G. B. Burlotto
14.5%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Badarina,Massanois Imports,"$75,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/grimaldi-bruna-2013-badarina-barolo,Not rated yet [Add Your Review],Nebbiolo,"A balsamic note of menthol, dark culinary spice, crushed herb, new leather and wild berry aromas come together in the glass. Firmly structured but extraordinarily refined, the palate doles out red cherry, crushed strawberry, tobacco and cinnamon set against tightly woven refined tannins. Lively acidity lends balance and energy while a licorice note wraps around the lingering finish. Drink 2025–2043.",Grimaldi Bruna 2013 Badarina  (Barolo),97.0,Grimaldi Bruna
14%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Parafada,Vineyard Brands,"$97,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/massolino-2013-parafada-barolo,Not rated yet [Add Your Review],Nebbiolo,"Aromas of new leather, ripe dark berry, vineyard dust and a whiff of smoky flint waft out of the glass along with floral and balsamic notes. The full-bodied palate shows great energy and intensity, delivering juicy Marasca cherry, ripe cranberry, white pepper and clove framed in youthfully assertive, refined tannins and bright acidity. A mineral note wraps up the lingering finish. With time, this will develop even greater complexity. Drink 2023–2053.",Massolino 2013 Parafada  (Barolo),97.0,Massolino
14.5%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Le Vigne,Vintus LLC,"$155,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/sandrone-2013-le-vigne-barolo,Not rated yet [Add Your Review],Nebbiolo,"Alluring scents of blue flower, rose petal, woodland berry, baking spice and new leather take center stage along with a balsamic note of menthol. The delicious enveloping palate doles out juicy morello cherry, crushed raspberry, cinnamon and licorice framed in refined tannins and bright acidity. It's polished and already tempting but hold for even more complexity. Drink 2020–2038.",Sandrone 2013 Le Vigne  (Barolo),97.0,Sandrone
14%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Bussia,"Skurnik Wines, Inc","$55,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/giacomo-fenocchio-2013-bussia-barolo,Not rated yet [Add Your Review],Nebbiolo,"Rose, iris, wild berry and baking spice aromas merge with scents of new leather and a balsamic menthol note on this stunning and classically crafted Barolo. The structured polished palate delivers juicy Marasca cherry, crushed raspberry, pipe tobacco and licorice framed in tightly knit noble tannins and bright acidity. It's going to just keep getting better and better over the next few decades. Drink from 2023 through 2053.",Giacomo Fenocchio 2013 Bussia  (Barolo),97.0,Giacomo Fenocchio
14%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Tre Tine,Vinifera Imports,"N/A,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/giuseppe-rinaldi-2013-tre-tine-barolo,Not rated yet [Add Your Review],Nebbiolo,"Delicately fragrant and incredibly refined, this stunning red boasts alluring scents of blue flower, rose, wild berry and a whiff of new leather. It's captivatingly ethereal and elegantly structured, offering crushed strawberry, red cherry, cinnamon and white pepper. It's also impeccably balanced thanks to firm polished tannins and bright acidity. While it's already extremely tempting, hold for even more complexity. Drink 2023–2043.",Giuseppe Rinaldi 2013 Tre Tine  (Barolo),97.0,Giuseppe Rinaldi
14.5%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Ravera,Wilson Daniels Ltd,"$82,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/elvio-cogno-2013-ravera-barolo,Not rated yet [Add Your Review],Nebbiolo,"Wild berry, iris, rose and a potpourri of culinary spice aromas emerge on the nose of this stunning red. Radiant and full bodied, the palate is young and primary at this stage but already evokes morello cherry, licorice, pipe tobacco and aromatic herbs. Bright acidity and taut tannins provide impeccable balance and an impressive, age-worthy structure. Drink 2025–2043.",Elvio Cogno 2013 Ravera  (Barolo),97.0,Elvio Cogno
